224901	1567777	208027	5871	253698	729730	1	PGEResidentialSmallBizCustomers	NULL	NULL
50336	1642128	404922	19128	361876	576315	1	PGEResidentialSmallBizCustomers	NULL	NULL
285805	1884803	495219	30574	467408	189459	1	PGEResidentialSmallBizCustomers	NULL	NULL
26773	1887506	475211	85036	733335	867656	1	PGEResidentialSmallBizCustomers	NULL	NULL
444228	1923589	176549	104115	412406	733723	1	PGEResidentialSmallBizCustomers	NULL	NULL
212257	1845117	737785	121228	221008	26715	1	PGEResidentialSmallBizCustomers	NULL	NULL
351642	1886205	508125	125022	859241	666591	1	PGEResidentialSmallBizCustomers	NULL	NULL
825981	1926712	737473	184545	424067	916060	1	PGEResidentialSmallBizCustomers	NULL	NULL
668416	1928311	191612	219885	765898	19826	1	PGEResidentialSmallBizCustomers	34d5r8o4ft6b86hshf8m	NULL
715277	1797673	736503	231089	280002	27827	1	PGEResidentialSmallBizCustomers	NULL	NULL
354743	1919204	603058	250622	384414	626051	1	PGEResidentialSmallBizCustomers	NULL	NULL
669351	1621505	711034	274726	867270	623536	1	PGEResidentialSmallBizCustomers	NULL	NULL
933789	1423571	728192	276223	97931	355641	1	PGEResidentialSmallBizCustomers	NULL	NULL
615173	1965330	604488	276566	576080	363118	1	PGEResidentialSmallBizCustomers	NULL	NULL
768748	1487510	783711	338090	75739	712465	0	PGEResidentialSmallBizCustomers	NULL	NULL
345153	1901547	547955	341350	406993	770049	1	PGEResidentialSmallBizCustomers	NULL	NULL
668078	1984189	673758	343868	796395	316009	1	PGEResidentialSmallBizCustomers	NULL	NULL
714750	1977657	711542	349806	14130	512726	1	PGEResidentialSmallBizCustomers	NULL	NULL
135505	1643646	96719	356744	848854	98246	1	PGEResidentialSmallBizCustomers	NULL	NULL
847471	518967	294364	365589	710898	791306	1	PGEResidentialSmallBizCustomers	NULL	NULL
59948	1651107	179792	391601	391925	442376	1	PGEResidentialSmallBizCustomers	NULL	NULL
138509	316326	927339	396726	551697	419571	1	PGEResidentialSmallBizCustomers	NULL	NULL
113623	1794190	900225	396980	511251	890084	1	PGEResidentialSmallBizCustomers	NULL	NULL
24235	1448267	756118	413052	32534	875384	1	PGEResidentialSmallBizCustomers	NULL	NULL
939686	2024252	912905	421518	336288	700938	1	PGEResidentialSmallBizCustomers	NULL	NULL
682314	1815380	628121	463695	28373	371042	1	PGEResidentialSmallBizCustomers	NULL	NULL
529760	1855065	715430	477892	72068	404492	1	PGEResidentialSmallBizCustomers	NULL	NULL
879465	1905868	180304	502928	440326	83215	1	PGEResidentialSmallBizCustomers	NULL	NULL
551942	1960807	773086	509669	378264	286283	1	PGEResidentialSmallBizCustomers	NULL	NULL
667381	1981847	826069	510399	260021	11487	1	PGEResidentialSmallBizCustomers	NULL	NULL
596809	291969	594683	518312	233866	55885	1	PGEResidentialSmallBizCustomers	NULL	NULL
915340	1964595	731984	533203	286925	472538	1	PGEResidentialSmallBizCustomers	NULL	NULL
648203	572218	243502	551807	570640	558761	1	PGEResidentialSmallBizCustomers	NULL	NULL
41200	1984430	737682	553991	675093	346916	1	PGEResidentialSmallBizCustomers	NULL	NULL
775873	1986116	396229	558271	398130	838261	1	PGEResidentialSmallBizCustomers	NULL	NULL
799367	1852704	723927	566729	762536	536274	1	PGEResidentialSmallBizCustomers	NULL	NULL
550535	1785084	675711	568817	332789	921106	1	PGEResidentialSmallBizCustomers	NULL	NULL
726449	1883741	726446	591018	332902	505415	1	PGEResidentialSmallBizCustomers	NULL	NULL
935351	1831339	685474	602779	61432	129709	1	PGEResidentialSmallBizCustomers	NULL	NULL
218586	1772664	867112	646178	34701	743801	1	PGEResidentialSmallBizCustomers	NULL	NULL
915591	1963648	449132	662754	140779	564209	1	PGEResidentialSmallBizCustomers	NULL	NULL
756169	1844242	426006	694592	611524	912839	1	PGEResidentialSmallBizCustomers	NULL	NULL
940240	1590839	433956	707830	788863	691490	0	PGEResidentialSmallBizCustomers	NULL	NULL
224901	1567777	208027	724426	253698	497271	1	PGEResidentialSmallBizCustomers	NULL	NULL
468878	1565293	743289	741912	239689	28882	1	PGEResidentialSmallBizCustomers	NULL	NULL
728434	1512008	529502	743682	108489	650176	1	PGEResidentialSmallBizCustomers	NULL	NULL
231397	1928745	155423	748224	539836	451803	1	PGEResidentialSmallBizCustomers	NULL	NULL
933789	1423571	728192	760741	97931	152940	1	PGEResidentialSmallBizCustomers	NULL	NULL
909178	1580471	221272	770632	476580	206029	1	PGEResidentialSmallBizCustomers	NULL	NULL
933818	2007268	927765	786693	249088	250097	1	PGEResidentialSmallBizCustomers	NULL	NULL
936337	1962265	565861	792942	453423	639220	1	PGEResidentialSmallBizCustomers	NULL	NULL
824328	1996778	926666	793442	192159	263948	1	PGEResidentialSmallBizCustomers	NULL	NULL
933259	1682882	915535	804059	336918	853972	1	PGEResidentialSmallBizCustomers	NULL	NULL
422865	1851239	290296	808942	806983	558372	1	PGEResidentialSmallBizCustomers	NULL	NULL
231397	1928745	155423	819269	539836	324520	1	PGEResidentialSmallBizCustomers	NULL	NULL
